[0m[ INFO] [1491405016.099707367]: Requesting the map from /octomap_binary...[0m
[0m[ INFO] [1491405016.450000471, 208.105000000]: Calling function 1[0m
[0m[ INFO] [1491406213.688203304, 1308.382000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 3.14614
 past MI : 3.29072
RG Called:12.5 -10.25 11.5 -10.25 b= 2.61064
[0m[ INFO] [1491406213.721866176, 1308.413000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 14.75 -10.25 b= 2.83192
RG Called:12.5 -10.25 11.5 -10.25 b= 4.22128
[0m[ INFO] [1491406213.759582100, 1308.447000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 14.75 -10.25 b= 1.22128
 S : 12.5   -10.25
 Mid point : 12.5    -10.25
 T : 14.75   -10.25
RG Called:12.5 -10.25 12.5 -10.25 b= 1
RG Called:12.5 -10.25 12.5 -10.25 b= 2.61064
RG Called:12.5 -10.25 12.5 -10.25 b= 4.22128
 S : 12.5   -10.25
 Mid point : 13.5    -10.25
 T : 14.75   -10.25
RG Called:12.5 -10.25 13.5 -10.25 b= 1
[0m[ INFO] [1491406213.796758504, 1308.477000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 14.75 -10.25 b= 4.44256
[0m[ INFO] [1491406213.816989617, 1308.497000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406213.840589173, 1308.521000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 3.14614
 past MI : 3.29072
RG Called:12.5 -10.25 13.5 -10.25 b= 2.61064
[0m[ INFO] [1491406213.869167661, 1308.548000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 14.75 -10.25 b= 2.83192
[0m[ INFO] [1491406213.886817948, 1308.564000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406213.912483373, 1308.587000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 3.25007
 past MI : 3.29072
RG Called:12.5 -10.25 13.5 -10.25 b= 4.22128
[0m[ INFO] [1491406213.931713354, 1308.606000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 14.75 -10.25 b= 1.22128
 S : 12.5   -10.25
 Mid point : 14.5    -10.25
 T : 14.75   -10.25
RG Called:12.5 -10.25 14.5 -10.25 b= 1
RG Called:12.5 -10.25 14.5 -10.25 b= 2.61064
[0m[ INFO] [1491406213.970401566, 1308.643000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:14.5 -10.25 14.75 -10.25 b= 2.83192
[0m[ INFO] [1491406214.004707004, 1308.674000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406214.032875263, 1308.703000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 4.36232
 past MI : 3.29072
RG Called:12.5 -10.25 14.5 -10.25 b= 4.22128
[0m[ INFO] [1491406214.051200895, 1308.715000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:14.5 -10.25 14.75 -10.25 b= 1.22128
[0m[ INFO] [1491406214.082567907, 1308.749000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406214.100558194, 1308.766000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 3.29534
 past MI : 4.36232
 length of returned P2 : 3
 length of returned Path : 4
[0m[ INFO] [1491406214.126911087, 1308.791000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 19.1841
 past MI : 20.7524
RG Called:11.5303 -10.1494 12.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.165925572, 1308.825000000]: Requesting the map from /octomap_binary...[0m
 S : 11.5303   -10.1494
 Mid point : 11.5    -10.25
 T : 12.5   -10.25
RG Called:11.5303 -10.1494 11.5 -10.25 b= 1
[0m[ INFO] [1491406214.191926134, 1308.848000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 12.5 -10.25 b= 1.61064
[0m[ INFO] [1491406214.210371363, 1308.865000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406214.230351033, 1308.882000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 16.0367
 past MI : 16.2181
RG Called:11.5303 -10.1494 11.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.252711297, 1308.897000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 12.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 12.5    -10.25
 T : 12.5   -10.25
RG Called:11.5303 -10.1494 12.5 -10.25 b= 1
[0m[ INFO] [1491406214.271786191, 1308.911000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 12.5 -10.25 b= 1.61064
RG Called:11.5303 -10.1494 12.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.299371734, 1308.942000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 12.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 13.5    -10.25
 T : 12.5   -10.25
RG Called:11.5303 -10.1494 13.5 -10.25 b= 1
RG Called:11.5303 -10.1494 13.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.322949931, 1308.962000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 12.5 -10.25 b= 0
 length of returned P1 : 2
RG Called:12.5 -10.25 14.75 -10.25 b= 3.83192
[0m[ INFO] [1491406214.336394579, 1308.974000000]: Requesting the map from /octomap_binary...[0m
 S : 12.5   -10.25
 Mid point : 11.5    -10.25
 T : 14.75   -10.25
RG Called:12.5 -10.25 11.5 -10.25 b= 1
[0m[ INFO] [1491406214.356963091, 1308.991000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 14.75 -10.25 b= 2.83192
RG Called:12.5 -10.25 11.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.378572616, 1309.013000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 14.75 -10.25 b= 1.22128
 S : 12.5   -10.25
 Mid point : 12.5    -10.25
 T : 14.75   -10.25
RG Called:12.5 -10.25 12.5 -10.25 b= 1
RG Called:12.5 -10.25 12.5 -10.25 b= 2.61064
 S : 12.5   -10.25
 Mid point : 13.5    -10.25
 T : 14.75   -10.25
RG Called:12.5 -10.25 13.5 -10.25 b= 1
[0m[ INFO] [1491406214.400458215, 1309.035000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 14.75 -10.25 b= 2.83192
[0m[ INFO] [1491406214.422817996, 1309.052000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406214.441552692, 1309.070000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 3.29072
 past MI : 5.30868
RG Called:12.5 -10.25 13.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.480759629, 1309.105000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 14.75 -10.25 b= 1.22128
 S : 12.5   -10.25
 Mid point : 14.5    -10.25
 T : 14.75   -10.25
RG Called:12.5 -10.25 14.5 -10.25 b= 1
RG Called:12.5 -10.25 14.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.504499262, 1309.126000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:14.5 -10.25 14.75 -10.25 b= 1.22128
[0m[ INFO] [1491406214.523077269, 1309.143000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406214.558186482, 1309.173000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 3.2642
 past MI : 5.30868
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406214.581697869, 1309.192000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 19.1371
 past MI : 20.7524
RG Called:11.5303 -10.1494 12.5 -10.25 b= 4.22128
[0m[ INFO] [1491406214.600849682, 1309.210000000]: Requesting the map from /octomap_binary...[0m
 S : 11.5303   -10.1494
 Mid point : 11.5    -10.25
 T : 12.5   -10.25
RG Called:11.5303 -10.1494 11.5 -10.25 b= 1
[0m[ INFO] [1491406214.616194174, 1309.222000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 12.5 -10.25 b= 3.22128
[0m[ INFO] [1491406214.643196226, 1309.250000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406214.668424706, 1309.276000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 15.5471
 past MI : 14.7267
RG Called:11.5303 -10.1494 11.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.685480949, 1309.288000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 12.5 -10.25 b= 1.61064
[0m[ INFO] [1491406214.704376754, 1309.304000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406214.732618402, 1309.329000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 16.136
 past MI : 15.5471
RG Called:11.5303 -10.1494 11.5 -10.25 b= 4.22128
[0m[ INFO] [1491406214.767374246, 1309.363000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 12.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 12.5    -10.25
 T : 12.5   -10.25
RG Called:11.5303 -10.1494 12.5 -10.25 b= 1
[0m[ INFO] [1491406214.785731181, 1309.376000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 12.5 -10.25 b= 3.22128
RG Called:11.5303 -10.1494 12.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.797639301, 1309.389000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 12.5 -10.25 b= 1.61064
RG Called:11.5303 -10.1494 12.5 -10.25 b= 4.22128
[0m[ INFO] [1491406214.814324676, 1309.401000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 12.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 13.5    -10.25
 T : 12.5   -10.25
RG Called:11.5303 -10.1494 13.5 -10.25 b= 1
RG Called:11.5303 -10.1494 13.5 -10.25 b= 2.61064
[0m[ INFO] [1491406214.833504362, 1309.419000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 12.5 -10.25 b= 1.61064
[0m[ INFO] [1491406214.862406579, 1309.447000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406214.912901700, 1309.494000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 15.8738
 past MI : 16.136
RG Called:11.5303 -10.1494 13.5 -10.25 b= 4.22128
[0m[ INFO] [1491406214.942658886, 1309.519000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 12.5 -10.25 b= 0
 length of returned P1 : 3
RG Called:12.5 -10.25 14.75 -10.25 b= 2.22128
RG Called:11.5303 -10.1494 12.5 -10.25 b= 5.83192
[0m[ INFO] [1491406214.964651579, 1309.543000000]: Requesting the map from /octomap_binary...[0m
 S : 11.5303   -10.1494
 Mid point : 11.5    -10.25
 T : 12.5   -10.25
RG Called:11.5303 -10.1494 11.5 -10.25 b= 1
[0m[ INFO] [1491406214.987065540, 1309.558000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 12.5 -10.25 b= 4.83192
[0m[ INFO] [1491406215.021927955, 1309.594000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406215.049137979, 1309.618000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 14.7448
 past MI : 16.1345
RG Called:11.5303 -10.1494 11.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.070596075, 1309.639000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 12.5 -10.25 b= 3.22128
[0m[ INFO] [1491406215.086835205, 1309.652000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406215.113539924, 1309.671000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 17.7925
 past MI : 16.1345
RG Called:11.5303 -10.1494 11.5 -10.25 b= 4.22128
[0m[ INFO] [1491406215.134270488, 1309.691000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 12.5 -10.25 b= 1.61064
[0m[ INFO] [1491406215.157531573, 1309.713000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406215.187290793, 1309.741000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 15.0656
 past MI : 17.7925
RG Called:11.5303 -10.1494 11.5 -10.25 b= 5.83192
[0m[ INFO] [1491406215.221810413, 1309.771000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 12.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 12.5    -10.25
 T : 12.5   -10.25
RG Called:11.5303 -10.1494 12.5 -10.25 b= 1
[0m[ INFO] [1491406215.245383305, 1309.791000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 12.5 -10.25 b= 4.83192
RG Called:11.5303 -10.1494 12.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.272542611, 1309.818000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 12.5 -10.25 b= 3.22128
RG Called:11.5303 -10.1494 12.5 -10.25 b= 4.22128
[0m[ INFO] [1491406215.288320804, 1309.829000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 12.5 -10.25 b= 1.61064
RG Called:11.5303 -10.1494 12.5 -10.25 b= 5.83192
[0m[ INFO] [1491406215.303376356, 1309.845000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 12.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 13.5    -10.25
 T : 12.5   -10.25
RG Called:11.5303 -10.1494 13.5 -10.25 b= 1
RG Called:11.5303 -10.1494 13.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.335730985, 1309.880000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 12.5 -10.25 b= 3.22128
[0m[ INFO] [1491406215.366215683, 1309.904000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406215.388298595, 1309.926000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 17.0255
 past MI : 17.7925
RG Called:11.5303 -10.1494 13.5 -10.25 b= 4.22128
[0m[ INFO] [1491406215.405224093, 1309.944000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 12.5 -10.25 b= 1.61064
[0m[ INFO] [1491406215.424418109, 1309.960000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406215.454225077, 1309.985000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 17.4478
 past MI : 17.7925
RG Called:11.5303 -10.1494 13.5 -10.25 b= 5.83192
[0m[ INFO] [1491406215.480575148, 1310.008000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 12.5 -10.25 b= 0
 length of returned P1 : 3
RG Called:12.5 -10.25 14.75 -10.25 b= 0.61064
 S : 11.5303   -10.1494
 Mid point : 13.5    -10.25
 T : 14.75   -10.25
RG Called:11.5303 -10.1494 13.5 -10.25 b= 1
RG Called:11.5303 -10.1494 13.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.505312718, 1310.032000000]: Requesting the map from /octomap_binary...[0m
 S : 11.5303   -10.1494
 Mid point : 11.5    -10.25
 T : 13.5   -10.25
RG Called:11.5303 -10.1494 11.5 -10.25 b= 1
[0m[ INFO] [1491406215.527170276, 1310.054000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 13.5 -10.25 b= 1.61064
RG Called:11.5303 -10.1494 11.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.561600399, 1310.083000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 13.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 12.5    -10.25
 T : 13.5   -10.25
RG Called:11.5303 -10.1494 12.5 -10.25 b= 1
[0m[ INFO] [1491406215.592914258, 1310.111000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 13.5 -10.25 b= 1.61064
[0m[ INFO] [1491406215.621104285, 1310.139000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406215.659360676, 1310.169000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 18.7647
 past MI : 17.0453
RG Called:11.5303 -10.1494 12.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.677572562, 1310.181000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 13.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 13.5    -10.25
 T : 13.5   -10.25
RG Called:11.5303 -10.1494 13.5 -10.25 b= 1
RG Called:11.5303 -10.1494 13.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.697087456, 1310.203000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 13.5 -10.25 b= 0
 length of returned P1 : 3
RG Called:13.5 -10.25 14.75 -10.25 b= 3.83192
[0m[ INFO] [1491406215.711548668, 1310.213000000]: Requesting the map from /octomap_binary...[0m
 S : 13.5   -10.25
 Mid point : 11.5    -10.25
 T : 14.75   -10.25
RG Called:13.5 -10.25 11.5 -10.25 b= 1
RG Called:13.5 -10.25 11.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.734287948, 1310.241000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 14.75 -10.25 b= 1.22128
 S : 13.5   -10.25
 Mid point : 12.5    -10.25
 T : 14.75   -10.25
RG Called:13.5 -10.25 12.5 -10.25 b= 1
[0m[ INFO] [1491406215.754659907, 1310.258000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 14.75 -10.25 b= 2.83192
[0m[ INFO] [1491406215.782717668, 1310.287000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406215.795909854, 1310.293000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 1.0935
 past MI : 1.0935
RG Called:13.5 -10.25 12.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.830166272, 1310.327000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 14.75 -10.25 b= 1.22128
 S : 13.5   -10.25
 Mid point : 13.5    -10.25
 T : 14.75   -10.25
RG Called:13.5 -10.25 13.5 -10.25 b= 1
RG Called:13.5 -10.25 13.5 -10.25 b= 2.61064
 S : 13.5   -10.25
 Mid point : 14.5    -10.25
 T : 14.75   -10.25
RG Called:13.5 -10.25 14.5 -10.25 b= 1
[0m[ INFO] [1491406215.868926425, 1310.365000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:14.5 -10.25 14.75 -10.25 b= 2.83192
[0m[ INFO] [1491406215.909985953, 1310.399000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406215.943399512, 1310.431000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 1.09812
 past MI : 1.0935
RG Called:13.5 -10.25 14.5 -10.25 b= 2.61064
[0m[ INFO] [1491406215.966134801, 1310.452000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:14.5 -10.25 14.75 -10.25 b= 1.22128
[0m[ INFO] [1491406215.992149460, 1310.474000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406216.028670837, 1310.508000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 2.85331
 past MI : 1.09812
 length of returned P2 : 3
 length of returned Path : 5
[0m[ INFO] [1491406216.087242147, 1310.563000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.885
 past MI : 20.7524
RG Called:11.5303 -10.1494 13.5 -10.25 b= 4.22128
[0m[ INFO] [1491406216.115677604, 1310.589000000]: Requesting the map from /octomap_binary...[0m
 S : 11.5303   -10.1494
 Mid point : 11.5    -10.25
 T : 13.5   -10.25
RG Called:11.5303 -10.1494 11.5 -10.25 b= 1
[0m[ INFO] [1491406216.150451068, 1310.620000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 13.5 -10.25 b= 3.22128
[0m[ INFO] [1491406216.174056518, 1310.640000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406216.193318663, 1310.660000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 24.3423
 past MI : 23.8543
RG Called:11.5303 -10.1494 11.5 -10.25 b= 2.61064
[0m[ INFO] [1491406216.213297900, 1310.676000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 13.5 -10.25 b= 1.61064
RG Called:11.5303 -10.1494 11.5 -10.25 b= 4.22128
[0m[ INFO] [1491406216.238880565, 1310.699000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 13.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 12.5    -10.25
 T : 13.5   -10.25
RG Called:11.5303 -10.1494 12.5 -10.25 b= 1
[0m[ INFO] [1491406216.268475138, 1310.725000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 13.5 -10.25 b= 3.22128
[0m[ INFO] [1491406216.296742914, 1310.752000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406216.332257152, 1310.779000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 22.001
 past MI : 24.3423
RG Called:11.5303 -10.1494 12.5 -10.25 b= 2.61064
[0m[ INFO] [1491406216.372005366, 1310.820000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 13.5 -10.25 b= 1.61064
[0m[ INFO] [1491406216.394843991, 1310.841000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406216.411956310, 1310.858000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.961
 past MI : 24.3423
RG Called:11.5303 -10.1494 12.5 -10.25 b= 4.22128
[0m[ INFO] [1491406216.436624799, 1310.876000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 13.5 -10.25 b= 0
 S : 11.5303   -10.1494
 Mid point : 13.5    -10.25
 T : 13.5   -10.25
RG Called:11.5303 -10.1494 13.5 -10.25 b= 1
RG Called:11.5303 -10.1494 13.5 -10.25 b= 2.61064
[0m[ INFO] [1491406216.447944487, 1310.883000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 13.5 -10.25 b= 1.61064
RG Called:11.5303 -10.1494 13.5 -10.25 b= 4.22128
[0m[ INFO] [1491406216.464573535, 1310.899000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:13.5 -10.25 13.5 -10.25 b= 0
 length of returned P1 : 3
RG Called:13.5 -10.25 14.75 -10.25 b= 2.22128
[0m[ INFO] [1491406216.496628087, 1310.929000000]: Requesting the map from /octomap_binary...[0m
 S : 13.5   -10.25
 Mid point : 11.5    -10.25
 T : 14.75   -10.25
RG Called:13.5 -10.25 11.5 -10.25 b= 1
 S : 13.5   -10.25
 Mid point : 12.5    -10.25
 T : 14.75   -10.25
RG Called:13.5 -10.25 12.5 -10.25 b= 1
[0m[ INFO] [1491406216.540205596, 1310.969000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:12.5 -10.25 14.75 -10.25 b= 1.22128
 S : 13.5   -10.25
 Mid point : 13.5    -10.25
 T : 14.75   -10.25
RG Called:13.5 -10.25 13.5 -10.25 b= 1
 S : 13.5   -10.25
 Mid point : 14.5    -10.25
 T : 14.75   -10.25
RG Called:13.5 -10.25 14.5 -10.25 b= 1
[0m[ INFO] [1491406216.582427852, 1311.007000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:14.5 -10.25 14.75 -10.25 b= 1.22128
[0m[ INFO] [1491406216.601910047, 1311.026000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406216.617335601, 1311.040000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 5.998e-07
 past MI : 3.872e-07
 length of returned P2 : 3
 length of returned Path : 5
[0m[ INFO] [1491406216.647963285, 1311.067000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 27.607
 past MI : 23.885
RG Called:11.5303 -10.1494 13.5 -10.25 b= 5.83192
[0m[ INFO] [1491406216.664642596, 1311.079000000]: Requesting the map from /octomap_binary...[0m
 S : 11.5303   -10.1494
 Mid point : 11.5    -10.25
 T : 13.5   -10.25
RG Called:11.5303 -10.1494 11.5 -10.25 b= 1
[0m[ INFO] [1491406216.696315426, 1311.109000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 13.5 -10.25 b= 4.83192
[0m[ INFO] [1491406216.718026041, 1311.126000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406216.750025619, 1311.154000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 26.4003
 past MI : 26.4074
RG Called:11.5303 -10.1494 11.5 -10.25 b= 2.61064
[0m[ INFO] [1491406216.773511307, 1311.174000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 13.5 -10.25 b= 3.22128
[0m[ INFO] [1491406216.795660522, 1311.192000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406216.814120050, 1311.206000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 26.9056
 past MI : 26.4074
RG Called:11.5303 -10.1494 11.5 -10.25 b= 4.22128
[0m[ INFO] [1491406216.836760134, 1311.228000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:11.5 -10.25 13.5 -10.25 b= 1.61064
RG Called:11.5303 -10.1494 11.5 -10.25 b= 5.83192
[0m[ INFO] [1491406216.851813440, 1311.241000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
